label,kp_0_x,kp_0_y,kp_1_x,kp_1_y,kp_2_x,kp_2_y,kp_3_x,kp_3_y,kp_4_x,kp_4_y,kp_5_x,kp_5_y,kp_6_x,kp_6_y,kp_7_x,kp_7_y,kp_8_x,kp_8_y,kp_9_x,kp_9_y,kp_10_x,kp_10_y,kp_11_x,kp_11_y,kp_12_x,kp_12_y,kp_13_x,kp_13_y,kp_14_x,kp_14_y,kp_15_x,kp_15_y,kp_16_x,kp_16_y
Adho Mukha Svanasana,0.5847519040107727,0.4632158577442169,0.5911082029342651,0.4864409565925598,0.595977783203125,0.47220394015312195,0.5631229877471924,0.5198487639427185,0.5664006471633911,0.48259636759757996,0.49249720573425293,0.5491286516189575,0.4951865077018738,0.45351311564445496,0.5969968438148499,0.6209218502044678,0.6061897873878479,0.4721032679080963,0.6700537800788879,0.7075003981590271,0.6880560517311096,0.5562394261360168,0.33698320388793945,0.39388370513916016,0.34505385160446167,0.3392404317855835,0.5043917894363403,0.3188251554965973,0.5015577673912048,0.29564082622528076,0.6245004534721375,0.28632330894470215,0.6383717060089111,0.23363983631134033
Adho Mukha Svanasana,0.7482321262359619,0.6585421562194824,0.7483846545219421,0.6855466365814209,0.7452836036682129,0.6846634149551392,0.6872665286064148,0.6951165199279785,0.6851574778556824,0.6965252161026001,0.61736661195755,0.6423125267028809,0.6242024898529053,0.6463515162467957,0.7096189856529236,0.7621334195137024,0.7389364838600159,0.7754207253456116,0.7514344453811646,0.864737868309021,0.8086308836936951,0.9012984037399292,0.36221298575401306,0.42973020672798157,0.3582424521446228,0.42579254508018494,0.5698960423469543,0.23379547894001007,0.5701603889465332,0.23270544409751892,0.7141416072845459,0.1102125346660614,0.75232994556427,0.07508891820907593
Adho Mukha Svanasana,0.6461594700813293,0.4888550341129303,0.6619063019752502,0.5124291181564331,0.6651405692100525,0.5154097080230713,0.6384677290916443,0.5687792301177979,0.6410537362098694,0.5706643462181091,0.5366979241371155,0.5822117328643799,0.5396657586097717,0.5866429209709167,0.6758080124855042,0.7105933427810669,0.7014508843421936,0.7153307795524597,0.7566232681274414,0.8253169059753418,0.8148595094680786,0.8656763434410095,0.24974879622459412,0.3509814739227295,0.24642451107501984,0.3443446457386017,0.5031024813652039,0.20066504180431366,0.4990934133529663,0.181112602353096,0.7256844639778137,0.10294020175933838,0.7643582224845886,0.0392099991440773
Adho Mukha Svanasana,0.6577974557876587,0.3819867670536041,0.6542190909385681,0.361128568649292,0.6481700539588928,0.36551016569137573,0.6031504273414612,0.3606841564178467,0.6039665341377258,0.3582969009876251,0.561458170413971,0.4169234335422516,0.5478308200836182,0.4154819846153259,0.6877874732017517,0.3099668025970459,0.665105938911438,0.3111247420310974,0.7481820583343506,0.1652262657880783,0.7097805142402649,0.18223750591278076,0.2866429090499878,0.6577609181404114,0.2816268801689148,0.6542279124259949,0.5191839933395386,0.8120048642158508,0.5144515633583069,0.8083792924880981,0.7143224477767944,0.9390581846237183,0.6997731924057007,0.9293606281280518
Adho Mukha Svanasana,0.6032404899597168,0.4461011290550232,0.6182082295417786,0.4285675883293152,0.6157976388931274,0.43045562505722046,0.5946021676063538,0.3840889036655426,0.5929294228553772,0.38581979274749756,0.5205975770950317,0.37028011679649353,0.521473228931427,0.3781464993953705,0.6538906693458557,0.2926451861858368,0.657494068145752,0.2988301217556,0.7514261603355408,0.179202139377594,0.7319350242614746,0.21582092344760895,0.3057607114315033,0.5404500961303711,0.302865207195282,0.545059323310852,0.5323029160499573,0.6678332686424255,0.5297368764877319,0.6713215112686157,0.7098802328109741,0.7654461860656738,0.7011221051216125,0.7558968663215637
Adho Mukha Svanasana,0.6170221567153931,0.6508831977844238,0.6076913475990295,0.6767320036888123,0.6059496402740479,0.677579939365387,0.5549754500389099,0.686961829662323,0.552955150604248,0.6831780672073364,0.5086074471473694,0.6118775606155396,0.500748336315155,0.6197821497917175,0.6487489342689514,0.7133756875991821,0.629859209060669,0.7336632013320923,0.7476828694343567,0.8253606557846069,0.7450655698776245,0.8668587803840637,0.33060601353645325,0.37132346630096436,0.3049882650375366,0.35078164935112,0.5377660989761353,0.238160640001297,0.5224961042404175,0.2077612578868866,0.7020164132118225,0.0888422280550003,0.7102304697036743,0.056532248854637146
Adho Mukha Svanasana,0.6282222270965576,0.46916159987449646,0.6379843950271606,0.4894641935825348,0.6387147307395935,0.4914427101612091,0.6085665822029114,0.521213948726654,0.6089165806770325,0.5266938209533691,0.5297731757164001,0.5238181948661804,0.5334537029266357,0.5248762965202332,0.6203294396400452,0.6178370118141174,0.6358155012130737,0.6237273812294006,0.6588202118873596,0.7211557626724243,0.6898743510246277,0.7418979406356812,0.31662076711654663,0.3323395252227783,0.32109928131103516,0.32559168338775635,0.505220890045166,0.2354758381843567,0.5047017335891724,0.22981639206409454,0.6492529511451721,0.16666215658187866,0.6746533513069153,0.14226093888282776
Adho Mukha Svanasana,0.640315592288971,0.5759183764457703,0.6461395621299744,0.5999117493629456,0.646284282207489,0.6001014113426208,0.607059121131897,0.6334326267242432,0.607155978679657,0.6323129534721375,0.527380108833313,0.6205621957778931,0.5317019820213318,0.621440052986145,0.6651375889778137,0.7099626064300537,0.678551435470581,0.7270568609237671,0.7474169135093689,0.8192508220672607,0.7951211929321289,0.8498821258544922,0.2863043546676636,0.38495495915412903,0.28778478503227234,0.3851686716079712,0.5177294015884399,0.24984948337078094,0.515996515750885,0.23748669028282166,0.7002458572387695,0.1570134460926056,0.7242500185966492,0.11316937953233719
Adho Mukha Svanasana,0.6102485656738281,0.30626505613327026,0.6091806292533875,0.2835400104522705,0.6076411604881287,0.2830803096294403,0.5605502128601074,0.2596762478351593,0.5632961392402649,0.25343993306159973,0.5071673393249512,0.2949276566505432,0.506340503692627,0.3085176944732666,0.6379311680793762,0.22857293486595154,0.622637927532196,0.2396717667579651,0.7293883562088013,0.1228095218539238,0.6816142201423645,0.1582302749156952,0.3270568549633026,0.5362650156021118,0.3212308883666992,0.5467182993888855,0.5146998763084412,0.7382797002792358,0.4947493076324463,0.7544342875480652,0.6961710453033447,0.880096971988678,0.6319460272789001,0.8852452635765076
Adho Mukha Svanasana,0.6702861785888672,0.43315377831459045,0.6731846928596497,0.40610092878341675,0.6696933507919312,0.40890443325042725,0.6196437478065491,0.3683542013168335,0.6260168552398682,0.37300604581832886,0.5407312512397766,0.41068077087402344,0.534837007522583,0.42377427220344543,0.6651182770729065,0.25710076093673706,0.6919439435005188,0.2803727686405182,0.7558796405792236,0.10994689166545868,0.7524921298027039,0.12741929292678833,0.2563222646713257,0.6825408339500427,0.2529946267604828,0.6864380240440369,0.5077072978019714,0.8557026386260986,0.49794802069664,0.8624608516693115,0.6994696259498596,0.996465265750885,0.6861197352409363,0.9904963374137878
